0,44.95,125.43
0.05,45.12,125.29
0.1,45.47,125
0.15,45.79,124.73
0.2,45.99,124.56
0.25,46.16,124.42
0.3,46.47,124.16
0.35,46.89,123.82
0.4,47.5,123.31
0.45,48.17,122.76
0.5,48.94,122.12
0.55,49.74,121.46
0.6,50.6,120.76
0.65,51.47,120.05
0.7,52.35,119.33
0.75,53.07,118.75
0.8,53.87,118.1
0.85,54.61,117.51
0.9,55.38,116.89
0.95,56.16,116.26
1,57.08,115.53
1.05,58.08,114.74
1.1,59.09,113.94
1.15,60.09,113.15
1.2,61.12,112.34
1.25,62.17,111.53
1.3,63.15,110.76
1.35,63.97,110.13
1.4,64.98,109.35
1.45,65.96,108.6
1.5,66.8,107.96
1.55,67.53,107.4
1.6,68.3,106.82
1.65,69.11,106.21
1.7,69.9,105.61
1.75,70.76,104.96
1.8,71.53,104.39
1.85,72.31,103.81
1.9,73.22,103.13
1.95,74.17,102.43
2,75.06,101.77
2.05,75.97,101.1
2.1,76.74,100.54
2.15,77.33,100.11
2.2,77.94,99.67
2.25,78.6,99.19
2.3,79.38,98.62
2.35,80.3,97.96
2.4,81.02,97.44
2.45,81.91,96.81
2.5,82.69,96.25
2.55,83.45,95.71
2.6,84.31,95.1
2.65,85.12,94.53
2.7,85.88,93.99
2.75,86.85,93.31
2.8,87.71,92.71
2.85,88.64,92.07
2.9,89.61,91.39
2.95,90.54,90.75
3,91.48,90.1
3.05,92.39,89.48
3.1,93.3,88.86
3.15,94.23,88.22
3.2,95.03,87.68
3.25,95.81,87.15
3.3,96.49,86.69
3.35,96.98,86.36
3.4,97.59,85.95
3.45,98.29,85.48
3.5,99.02,84.99
3.55,99.86,84.43
3.6,100.7,83.87
3.65,101.44,83.38
3.7,102.41,82.73
3.75,103.29,82.15
3.8,104.19,81.56
3.85,105.14,80.93
3.9,106.07,80.32
3.95,107.1,79.65
4,108.22,78.92
4.05,109.31,78.21
4.1,110.46,77.46
4.15,111.47,76.81
4.2,112.45,76.17
4.25,113.38,75.57
4.3,114.29,74.99
4.35,115.11,74.46
4.4,116.07,73.84
4.45,117.05,73.21
4.5,117.99,72.61
4.55,118.87,72.05
4.6,119.7,71.52
4.65,120.58,70.96
4.7,121.43,70.42
4.75,122.27,69.88
4.8,122.99,69.42
4.85,123.75,68.94
4.9,124.5,68.46
4.95,125.23,68
5,126,67.51
5.05,126.78,67.01
5.1,127.64,66.47
5.15,128.55,65.89
5.2,129.35,65.38
5.25,130.18,64.85
5.3,130.79,64.46
5.35,131.44,64.05
5.4,132.08,63.64
5.45,132.71,63.24
5.5,133.41,62.79
5.55,134.19,62.3
5.6,134.98,61.79
5.65,135.8,61.27
5.7,136.65,60.73
5.75,137.45,60.21
5.8,138.15,59.77
5.85,138.81,59.34
5.9,139.44,58.94
5.95,139.99,58.59
6,140.55,58.22
6.05,141.05,57.9
6.1,141.49,57.62
6.15,141.95,57.32
6.2,142.44,57.01
6.25,142.98,56.66
6.3,143.6,56.25
6.35,144.18,55.88
6.4,144.85,55.44
6.45,145.39,55.09
6.5,145.83,54.8
6.55,146.25,54.53
6.6,146.64,54.28
6.65,146.99,54.05
6.7,147.41,53.77
6.75,147.86,53.48
6.8,148.29,53.19
6.85,148.74,52.9
6.9,149.18,52.61
6.95,149.6,52.33
7,150.07,52.02
7.05,150.52,51.72
7.1,150.93,51.45
7.15,151.28,51.22
7.2,151.56,51.03
7.25,151.87,50.83
7.3,152.14,50.65
7.35,152.43,50.45
7.4,152.68,50.29
7.45,152.88,50.15
7.5,153.08,50.02
7.55,153.29,49.88
7.6,153.47,49.76
7.65,153.61,49.66
7.7,153.69,49.61
7.75,153.73,49.58
7.8,153.78,49.55
7.85,153.87,49.49
7.9,154.02,49.39
7.95,154.19,49.27
8,154.37,49.15
8.05,154.5,49.07
8.1,154.55,49.03
8.15,154.57,49.02
8.2,154.58,49.01
8.25,154.64,48.97
8.3,154.74,48.9
8.35,154.85,48.83
8.4,154.95,48.76
8.45,155,48.73
8.5,155.04,48.7
8.55,155.07,48.68
8.6,155.15,48.63
8.65,155.3,48.53
8.7,155.47,48.41
8.75,155.69,48.26
8.8,155.83,48.17
8.85,155.89,48.13
8.9,155.89,48.13
8.95,155.88,48.13
9,155.9,48.12
9.05,155.92,48.11
9.1,155.93,48.1
9.15,155.94,48.09
